OrderNo;FileName;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
57;sandwich;20;SingleErrorsForEveryBlock;16;Simple;1640;1364;35862;6500
58;sandwich;20;SingleErrorsForEveryBlock;24;Simple;1700;1387;37078;6500
59;sandwich;20;SingleErrorsForEveryBlock;32;Simple;1760;1373;36905;6500
60;sandwich;20;SingleErrorsForEveryBlock;40;Simple;1820;1358;36402;6500
61;sandwich;1;GroupErrorsForEveryBlock;10;Extended;80;1;454;6500
62;sandwich;1;GroupErrorsForEveryBlock;16;Extended;82;1;468;6500
63;sandwich;1;GroupErrorsForEveryBlock;24;Extended;85;1;474;6500
101;rgbImage;5;SingleErrorsForEveryBlock;10;Extended;495;1;531;8100
102;rgbImage;5;SingleErrorsForEveryBlock;16;Extended;510;1;555;8100
103;rgbImage;5;SingleErrorsForEveryBlock;24;Extended;525;3;614;8100
104;rgbImage;5;SingleErrorsForEveryBlock;32;Extended;545;9;617;8100
105;rgbImage;5;SingleErrorsForEveryBlock;40;Extended;565;1;674;8100
106;rgbImage;10;SingleErrorsForEveryBlock;10;Extended;990;898;526;8100
107;rgbImage;10;SingleErrorsForEveryBlock;16;Extended;1020;894;559;8100
108;rgbImage;10;SingleErrorsForEveryBlock;24;Extended;1050;3;596;8100
109;rgbImage;10;SingleErrorsForEveryBlock;32;Extended;1090;7;630;8100
110;rgbImage;10;SingleErrorsForEveryBlock;40;Extended;1130;4;657;8100
111;rgbImage;16;SingleErrorsForEveryBlock;10;Extended;1584;1396;555;8100
112;rgbImage;16;SingleErrorsForEveryBlock;16;Extended;1632;1406;563;8100
113;rgbImage;16;SingleErrorsForEveryBlock;24;Extended;1680;1347;610;8100
114;rgbImage;16;SingleErrorsForEveryBlock;32;Extended;1744;3;665;8100
115;rgbImage;16;SingleErrorsForEveryBlock;40;Extended;1808;7;695;8100
116;rgbImage;20;SingleErrorsForEveryBlock;10;Extended;1980;1702;528;8100
117;rgbImage;20;SingleErrorsForEveryBlock;16;Extended;2040;1696;587;8100
118;rgbImage;20;SingleErrorsForEveryBlock;24;Extended;2100;1671;623;8100
119;rgbImage;20;SingleErrorsForEveryBlock;32;Extended;2180;1689;627;8100
120;rgbImage;20;SingleErrorsForEveryBlock;40;Extended;2260;9;687;8100
1;rgbImage;1;GroupErrorsForEveryBlock;10;Simple;99;92;60633;8100
121;rgbImage;0,01;ErrorsWithProbability;10;Simple;233;218;50953;8100
122;rgbImage;0,01;ErrorsWithProbability;16;Simple;231;210;48203;8100
2;rgbImage;1;GroupErrorsForEveryBlock;16;Simple;102;91;52497;8100
123;rgbImage;0,01;ErrorsWithProbability;24;Simple;273;242;51571;8100
3;rgbImage;1;GroupErrorsForEveryBlock;24;Simple;105;94;54648;8100
124;rgbImage;0,01;ErrorsWithProbability;32;Simple;272;242;58079;8100
4;rgbImage;1;GroupErrorsForEveryBlock;32;Simple;109;85;58046;8100
5;rgbImage;1;GroupErrorsForEveryBlock;40;Simple;113;85;52753;8100
125;rgbImage;0,01;ErrorsWithProbability;40;Simple;321;267;56163;8100
6;rgbImage;2;GroupErrorsForEveryBlock;10;Simple;198;135;51534;8100
126;rgbImage;0,02;ErrorsWithProbability;10;Simple;521;495;52169;8100
7;rgbImage;2;GroupErrorsForEveryBlock;16;Simple;204;120;51407;8100
127;rgbImage;0,02;ErrorsWithProbability;16;Simple;503;464;53529;8100
8;rgbImage;2;GroupErrorsForEveryBlock;24;Simple;210;117;50277;8100
128;rgbImage;0,02;ErrorsWithProbability;24;Simple;538;476;52452;8100
9;rgbImage;2;GroupErrorsForEveryBlock;32;Simple;218;124;49247;8100
129;rgbImage;0,02;ErrorsWithProbability;32;Simple;578;478;53158;8100
10;rgbImage;2;GroupErrorsForEveryBlock;40;Simple;226;103;40753;8100
130;rgbImage;0,02;ErrorsWithProbability;40;Simple;520;423;51955;8100
