OrderNo;FileName;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
45;graySquare;2;GroupErrorsForEveryBlock;10;Extended;198;1;570;8100
46;graySquare;2;GroupErrorsForEveryBlock;16;Extended;204;0;644;8100
47;graySquare;2;GroupErrorsForEveryBlock;24;Extended;210;0;631;8100
48;graySquare;2;GroupErrorsForEveryBlock;32;Extended;218;0;668;8100
49;graySquare;5;GroupErrorsForEveryBlock;10;Extended;495;0;621;8100
50;graySquare;5;GroupErrorsForEveryBlock;16;Extended;510;1;592;8100
51;graySquare;5;GroupErrorsForEveryBlock;24;Extended;525;1;613;8100
52;graySquare;5;GroupErrorsForEveryBlock;32;Extended;545;1;642;8100
53;graySquare;10;GroupErrorsForEveryBlock;10;Extended;990;394;538;8100
54;graySquare;10;GroupErrorsForEveryBlock;16;Extended;1020;399;586;8100
55;graySquare;10;GroupErrorsForEveryBlock;24;Extended;1050;1;614;8100
56;graySquare;10;GroupErrorsForEveryBlock;32;Extended;1090;0;667;8100
57;graySquare;16;GroupErrorsForEveryBlock;10;Extended;1584;594;573;8100
58;graySquare;16;GroupErrorsForEveryBlock;16;Extended;1632;594;626;8100
59;graySquare;16;GroupErrorsForEveryBlock;24;Extended;1680;583;650;8100
60;graySquare;16;GroupErrorsForEveryBlock;32;Extended;1744;1;717;8100
61;graySquare;1;SingleErrorsForEveryBlock;10;Extended;99;0;607;8100
62;graySquare;1;SingleErrorsForEveryBlock;16;Extended;102;0;589;8100
63;graySquare;1;SingleErrorsForEveryBlock;24;Extended;105;0;657;8100
64;graySquare;1;SingleErrorsForEveryBlock;32;Extended;109;0;658;8100
65;graySquare;2;SingleErrorsForEveryBlock;10;Extended;198;1;552;8100
66;graySquare;2;SingleErrorsForEveryBlock;16;Extended;204;0;599;8100
67;graySquare;2;SingleErrorsForEveryBlock;24;Extended;210;1;660;8100
68;graySquare;2;SingleErrorsForEveryBlock;32;Extended;218;0;650;8100
69;graySquare;5;SingleErrorsForEveryBlock;10;Extended;495;1;578;8100
70;graySquare;5;SingleErrorsForEveryBlock;16;Extended;510;0;631;8100
71;graySquare;5;SingleErrorsForEveryBlock;24;Extended;525;0;591;8100
72;graySquare;5;SingleErrorsForEveryBlock;32;Extended;545;4;710;8100
73;graySquare;10;SingleErrorsForEveryBlock;10;Extended;990;885;572;8100
74;graySquare;10;SingleErrorsForEveryBlock;16;Extended;1020;885;655;8100
75;graySquare;10;SingleErrorsForEveryBlock;24;Extended;1050;5;607;8100
76;graySquare;10;SingleErrorsForEveryBlock;32;Extended;1090;2;688;8100
77;graySquare;16;SingleErrorsForEveryBlock;10;Extended;1584;1384;597;8100
78;graySquare;16;SingleErrorsForEveryBlock;16;Extended;1632;1382;581;8100
79;graySquare;16;SingleErrorsForEveryBlock;24;Extended;1680;1386;625;8100
80;graySquare;16;SingleErrorsForEveryBlock;32;Extended;1744;12;685;8100
1;graySquare;1;GroupErrorsForEveryBlock;10;Simple;99;95;72804;8100
2;graySquare;1;GroupErrorsForEveryBlock;16;Simple;102;93;57812;8100
18;graySquare;16;GroupErrorsForEveryBlock;16;Simple;1632;592;60045;8100
3;graySquare;1;GroupErrorsForEveryBlock;24;Simple;105;89;57607;8100
19;graySquare;16;GroupErrorsForEveryBlock;24;Simple;1680;584;58537;8100
4;graySquare;1;GroupErrorsForEveryBlock;32;Simple;109;89;54530;8100
20;graySquare;16;GroupErrorsForEveryBlock;32;Simple;1744;582;56958;8100
5;graySquare;2;GroupErrorsForEveryBlock;10;Simple;198;131;56913;8100
21;graySquare;1;SingleErrorsForEveryBlock;10;Simple;99;89;53766;8100
